id,name,genres,overview
1,Drowned Wednesday,fantasy," Drowned Wednesday is the first Trustee among the Morrow Days who is on Arthur's side and wishes the Will to be fulfilled. She appears as a leviathan/whale and suffers from Gluttony. The book begins when Leaf is visiting Arthur and they are discussing the invitation that Drowned Wednesday sent him. Arthur had been admitted to hospital because of the damage done to his leg when he attempted to enter Tuesday's Treasure Tower. Suddenly, the hospital room becomes flooded with water as the two are transported to the Border Sea of the House. Leaf is snatched away by a large ship with green sails, known as the Flying Mantis, while Arthur remains in his bed. When the Medallion given him by the immortal called the Mariner apparently fails to summon help, Arthur is without hope. Eventually, a buoy marking the pirate Elishar Feverfew's treasure floats toward him. As soon as Arthur opens it, his hand is marked with a bloody red colour. Arthur now has the Red Hand, by which Feverfew marks whoever has found his treasure, so that he can identify them later. Not long after, a scavenging ship called the Moth rescues Arthur. On board, Arthur (going by the name of Arth) is introduced to Sunscorch, the First Mate, and to Captain Catapillow. Their journey brings them through the Line of Storms and into the Border Sea, where they are later pursued by Feverfew's ghostly ship, the Shiver. The damage inflicted on the Moth is serious; therefore Sunscorch commands an Upper House Sorcerer, Dr. Scamandros, to open a transfer portal to elsewhere in the Secondary Realms. Scamandros claims that Arthur is carrying something that interfered with his magic, and tells Sunscorch to throw him overboard. As a last resort, Arthur shows them the Mariner's Medallion, which stops Scamandros saying that they must get rid of Arthur. After going through the transfer portal (with Arthur's help), the ship is grounded on a beach. When Arthur wished to learn what happened to Leaf, Dr. Scamandros applies his sorcery to make it possible. She is revealed to be aboard the ship Flying Mantis. Arthur joins Catapillow for supper, later to reveal his identity. At first, Propaganda issued by Dame Primus (Arthur's Steward) makes them skeptical of this, but they eventually become convinced. A few days later, Wednesday's Dawn takes Arthur to meet Wednesday for her 'luncheon of seventeen removes'. As they approach, Wednesday shrinks into her human form to meet Arthur. During their lunch, Wednesday tells Arthur that after Part 3 of the Will has been released, she will surrender the Third Key to Arthur. Arthur is then taken by Wednesday's Dawn to a place called the triangle in search of his friend Leaf. He learns that Leaf has been forced to work on the Mantis, but is otherwise intact. Arthur later makes a deal with the Raised Rats, a group of anthropomorphic rats brought to the House by the Piper, to take him to Feverfew's hideout, which they believe is inside a miniature world located within Drowned Wednesday's stomach. On the Raised Rats' ship, Arthur opens a gift from Dr. Scamandros, which proves to be a golden transfer watch. With this, he communicates with and rescues Dr. Scamandros. He then uses a scrying mirror Dr. Scamandros gave him to watch Leaf. A rat watches him during the scry, and later saves him from a battle with Feverfew. Later, the Rats bring Arthur onto their submarine, where he meets with Suzy Turquiose Blue. In contrast to Suzy's former cockney attitude, she has assumed a more ""ladylike and proper"" demeanor on the orders of Dame Primus. Only when they are no longer on the Border Sea, but under it, does she resume her customary ways of speech and dress. They are, with navigational difficulty, able to enter the stomach of Lady Wednesday and the worldlet therein. There, Arthur and Suzy, disguised as rats, find escaped slaves, professed followers of the Carp. These exiles take them to the Carp, who is the third part of the Will. They are halted in their attempt to escape by Feverfew, who proposes that each of them will try to kill the other by means of one strike only. Arthur fails his first try, then dodges Feverfew and severs his head. Leaf, who is Feverfew's prisoner, then kicks it into a mud puddle containing Nothing, which consumes it. Upon his death, the worldlet begins to collapse. Via the Moth, Arthur and all his friends (with the exception of the reluctant Catapillow) are able to escape. Lady Wednesday recovers from her gluttony, then dies as a result of being poisoned by the worldlet, which had opened a void to Nothing. Arthur, now Duke of the Border Sea, appoints Sunscorch as his Noon and Scamandros as his Dusk. fr:Mercredi sous les flots th:พุธเพชฌฆาต"
2,The Lost Hero,fantasy," As the book opens, Jason awakens on a school bus, unable to remember who or where he is, or anything about his past. He is sitting next to Piper McLean and Leo Valdez, who call him by name and say they are his girlfriend and best friend respectively. All three are part of a class field trip to the Grand Canyon, and after they arrive, a classmate Dylan turns into a Venti (Storm Spirit) and attacks the trio and their trip leader, Coach Gleeson Hedge. In the ensuing fight, Jason surprises everyone, including himself, when one of his coins turns into a sword which he uses to battle the storm spirits. Coach Hedge, who reveals himself to be a satyr during the fight, is taken captive by a fleeing spirit. After the battle, a flying chariot arrives to rescue the trio, but one of the people in it, Annabeth, is upset when she discovers that her missing boyfriend, Percy Jackson, is not there as she expected. Annabeth, seeking Percy, was told in a vision from the goddess Hera to look there for the ""guy with one shoe"", but this turns out to be Jason, who had a shoe destroyed during the fight. Jason, Piper,and Leo are told that they are demigods and are taken back to Camp Half-Blood where they meet other greek demigod children like themselves. There, Leo is revealed as a son of Hephaestus, Piper as a daughter of Aphrodite and Jason as a son of Zeus, though Hera tells him he is her champion. Jason later discovers that he is the full brother of Zeus's demigod daughter Thalia Grace, who is a Hunter of Artemis. Shortly after they arrive, the three are given a quest to rescue Hera, who has been captured, and they set off. They soon discover that their enemies are working under orders from Gaea to overthrow the gods. During their quest, they encounter Thalia and the Hunters, who have been looking for Percy. Thalia and Jason reunite for the first since Jason was captured at the age of two. On the way to Aeolus's castle, Jason, Leo and Piper become separated from Thalia, who promises to meet them at the Wolf House, the last place Thalia had seen Jason before this meeting. After being nearly apprehended by Aeolus, who is under Gaea's orders, the trio manage to escape thanks to Mellie, Aeolus`s former assistant, and end up in San Francisco, thanks to the result of a dream Piper had with Aphrodite. After landing in San Francisco, the trio rush to Mt.Diablo to fight the giant Enceladus, who has kidnapped Piper's father. They manage to kill the giant and save Piper's father, after which they rush to the Wolf House to free Hera. Although the heroes and the Hunters save Hera, the king of the giants, Porphyrion, rises fully and disappears into a hole in the Earth. Jason's memory then starts returning, and he remembers that he is a hero from a Roman counterpart to Camp Half-Blood somewhere near San Francisco, and is the son of Jupiter, Zeus's Roman aspect. He realizes that Hera, also known as Juno, has switched him with Percy Jackson, who will be at the Roman camp with no memory of his life, in the hopes that the two camps would ultimately work together to fight the giants and defeat the goddess Gaea."
3,Magic's Promise,fantasy," The book opens with Herald-Mage Vanyel returning to his country Valdemar from an extensive campaign along the border with Karse, the neighboring enemy country. He checks in with Valdemar's King Randale and his lifebonded mate, Shavri, and their daughter Jisa. Only a select few know that Jisa is Vanyel's daughter. Because King Randale is sterile, he had asked Vanyel to father an heir. Now, Shavri confides in Vanyel her fear that Randale is mortally ill. Vanyel and his mentor Savil return to Vanyel's family home at Forst Reach, where they find little rest or peace. His parents both try to change his mind about being shay'a'chern, or homosexual. Vanyel becomes somewhat confused about his own sexuality. He wonders if he is truly in love with Shavri. Yfandes, Vanyel's Companion, doesn't buy it and finds the situation amusing. Vanyel also meets his illegitimate nephew, Medren. Medren is small for his age as Vanyel was, and like him it appears that he is often bullied by the armsmaster Jervis. The boy has a powerful Bardic gift, and Vanyel sponsors him for the Bardic Collegium. Vanyel confronts Jervis and learns that the armsmaster is not being intentionally rough. He also apologizes for beating Vanyel long ago, and explains his difficult position with Vanyel's father. He also mentions that he knew Vanyel was shay'a'chern from the beginning, but also knew from his army service that being gay does not keep men from being courageous warriors. Vanyel accepts this and they form an uneasy friendship. The main plot focuses on how Vanyel assists young Prince Tashir Remoerdis. Vanyel and Yandes receive a psychic summons into the neighboring country of Lineas. Upon arrival, they find Tashir, who has just become a Herald, with his Companion, Leshya (nicknamed Ghost by Yfandes). Another Herald, Lores, is beating the child and attacks Ghost when he tries to interfere. He believes that Tashir is actually an evil sorcerer who has murdered his own family. Vanyel immediately stops Lores and commands him to return to Valdemar. Vanyel takes Tashir back to his own home, Forst Reach, and begins to try and discover what truly happened to Tashir's family. He then returns to Lineas, disguised as a minstrel to gather information. In Lineas magic is taboo; no one is supposed to perform it for any reason. It shares a border with Baires, a country ruled by the Mavelan, a family of mages. A treaty was signed to end the warring between the two countries, sealed by the marriage of Tashir's parents. In the treaty there exists a clause that if the royal family of Lineas dies out, the Mavelan can take over the Lineas throne, and vice versa. Vanyel meets an old servant of the Remoerdis family who tells him of Tashir's sad childhood. Tashir was physically and emotionally abused by his father and sexually abused by his mother. His mother was mentally unstable and made seductive overtures to Tashir even as a young child. Tashir looks very much like his mother's uncle Vedric, and rumor has it that he is the product of an incestuous affair between them. Returning to Forst Reach, Vanyel recruits Savil and Jervis to help. Together with Tashir, they return to Lineas, breaking through the palace's magic shields to search the place. They find a secret room which contains a ""heart-stone"", an ordinary rock connected with a magical ""node"" which is keeping a deep, dangerous fault sealed. As the stone was unstable and any magic done in the area could disturb it, a guardian family without magic was appointed. If the stone were to be removed, a giant earthquake would occur destroying Lineas, parts of the outlands, and the border of Valdemar. That was why magic was anathema in Lineas, and also why everyone in the palace was blood related member of the Remoerdis family, sworn to protect the node. In the palace Vanyel and Savil discover a ""trap-spell"", which targets one person and also kills the target's entire family. Tashir's family were the victims of the trap-spell, which was placed by Tashir's uncle Vedric, whose intention is to control both Lineas and Baires. (He is not, however, Tashir's father.) Vedric tries the same trick on Vanyel, who has already caught on and sent Savil away, along with Tashir, while keeping Jervis with him. In defending himself, Vanyel ends up killing most of the Baires family as well as Vedric. Now king of both Baires and Lineas, Tashir considers himself too young and inexperienced. He allows King Randale to annex the two smaller countries into Valdemar. Vanyel finally sorts out that he actually is gay, and that Shavri is just a good friend."
4,The Sweet Far Thing,fantasy," The prologue begins with two men who are searching a river in London (three years before the events of the book) for dead bodies to fence any jewelry or money left upon them. They come across the body of a girl wearing the same crescent moon amulet as Gemma’s. At Spence academy Gemma struggles to open the realms. Pressure builds on her as her friends plot to use her magic to alter the courses of their lives, such as Ann trying to counteract her plainess with the magic in hopes of seducing Tom or joining the theatre. But after much struggling Gemma finds a backdoor-like entry into the realms. By touching a mysterious stone unearthed during the reconstruction of the east wing of Spence Gemma can enter the realms. There Gemma, Felicity, and Ann find Pippa among a group of girls she claims to have saved from entering the Winterlands. Pippa leads the group of girls and attempts to teach them manners in a similar fashion that she was taught at Spence, even though Pippa obviously didn't pick many of these up herself. Pippa asks Gemma to help her cross the river in the realms into the afterlife, but finds that she cannot because she has become a creature of the realms. Pippa asks Gemma to give her some magic and feeling guilty, she does. After a three month absence, Kartik finds Gemma at Spence Academy to tell her that their destinies should not cross again. Gemma angrily stomps off, trying to appear aloof. A later meeting at a boat dock in London crushes Gemma's hope that they could be together. Kartik enlists as a sailor for the HMS Orlando to escape from Gemma and the Rakshana. He refuses to reveal to Gemma the details of his business with the Rakshana or what he will do beyond being a sailor. Despite his coldness, Gemma continues to long for his touch. While waiting for his boat to come in, Kartik lives with the gypsies and helps Gemma arrange a meeting with the Rakshana. The topic of the meeting was her brother Tom, whom the Rakshana was trying to enlist in the club. The meeting was cut short by Mr. Fowlson, a loyal Rakshana member, who unsuccessfully tried to capture Kartik and Gemma. The cost for their safe escape was Mr. Fowlson's discovery that Gemma did indeed have the magic, unlike what she had said to him previously. This incidents ends with Kartik and Gemma leaving the docks after a kiss. At the peak of her tolerance, Gemma finally gave in to her visions and tried to follow the clues left by a mysterious girl in a lavender dress. This leads her to an illusionist who informs Gemma that this girl lived at Spence during her mother's time there. On a whim, Gemma and her troupe of girls venture into the Winterlands to find The Tree of All Souls. When they find it, they all place their hands upon its bark and see different 'visions'- their dreams coming true before their eyes. Gemma alone had a talk with Eugenia Spence who informed her more of the girl in the lavender dress. She also learns that the girl had in possession a dagger which posed a threat to the Winterland creatures. With their affection for each other growing, Kartik finally asks Gemma if she can take him into the realms to see his brother. Once there, they go to into the Cave of Sighs where they make love in each other's dreams. Gemma then offers Kartik a bit of her magic and he uses it simply to kiss her. Afterwards, Kartik finds his brother and is upset by what has become of him, he leaves the realms without the peace he'd hoped to find. Felicity and Ann grow angry with Gemma when she refuses to bring them into the Realms, but since Gemma has broken the seal between the two worlds they soon discover they no longer need her and they cross over by themselves. Gemma panics for her friends are unaware of the war that is breaking out amongst the creatures and, fearing for their safety, follows them into the Realms. She finds them visiting Pippa, whose power has grown but whose sanity is very quickly waning. Pippa attempts to kill Gemma when she refuses to believe that she is 'the chosen one'. Felicity attempts to stop her but Pippa pushes her away in her rage, Felicity is taken aback. When Pippa sees what she's done to her friend she apologizes and asks Felicity to stay with her forever, offering her berries that would doom Felicity into a half-life in the realms. The true relationship between the two is revealed when they share a kiss, but Felicity ultimately refuses the berries and leaves in tears. Time begins to run out for Gemma as creatures of the Realms' patience wears thin. With the seal broken between the two worlds, the creatures run loose, crossing back and forth between the Realms and reality. They attempt to capture Gemma while she is at Spence in order to sacrifice her to the Tree of All Souls. Gemma and her troupe (Kartik, Fowlson, Ms. McCleethy, Ann, and Felicity) quickly cross over into the Realms while the war is raging between the creatures. They are waylaid by Pippa, who sacrifices Ms. McCleethy in Pippa's castle in the Borderlands. Soon after, the castle collapses with Pippa inside. The group of girls following Pippa join Gemma's group to fight the Winterlands. They make their way to the tree where Gemma is stabbed by Amar. Kartik quickly offers himself to the Tree of All Souls in order to save Gemma and they share one last kiss before he is absorbed into the Tree. Gemma then gives her magic back to the land, recreating the barrier between the two worlds, and returns home, heartbroken. After her debut, Gemma moves to America to live independently and attend University. In her dreams, she still sees Kartik where he waits for her in the realms on the other side of the river."
5,Master Alvin,fantasy," This book has yet to be published. At this time, the expected release date is unknown."
6,Darkwalker on Moonshae,fantasy," The novel and its trilogy use the Moonshae Isles as its setting. Kazgoroth, the Beast, has come into the world to destroy the power of the Earthmother. Changing its shape as needs be, the Beast goes across the island of Gwynneth, corrupting everything in its way. Its destination is a large gathering of Northmen raiders at Oman's Isle, in the middle of the Moonshaes, where they are preparing an assault on the kingdom of Corwell. The Northmen don't realize yet that this is going to be more than just a plundering raid. They don't know that their leader isn't King Thelgaar Ironhand, but the Beast, who has killed the king and assumed his shape. Meanwhile, the Earthmother, aware of the danger and hurting from the corruption brought to the land, her body, by the vile presence of the Beast, awakes her children - the Leviathan, the Pack, and Kamerynn, the Unicorn. They will try to stop Kazgoroth in different ways, but that won't be enough. At Caer Corwell, the seat of the king of Corwell, rumour brings word of war coming to the kingdom. Preparation is under way, but the Ffolk don't know where the enemy will strike. It is up to Tristan to organize the Ffolk against this both human and demonic threat. In his fight against the odds, helped by Robyn, he will grow into the responsible leader that should inherit his father's kingdom."
7,Fengshen Yanyi,fantasy," The novel is a romanticised retelling of the overthrow of King Zhou, the last ruler of the Shang Dynasty, by King Wu, who would establish the Zhou Dynasty in place of Shang. The story integrates oral and written tales of many Chinese mythological figures who are involved in the struggle as well. These figures include human heroes, immortals and various spirits (usually represented in avatar form like vixens, and pheasants, and sometimes inanimate objects such as a pipa). Bewitched by his concubine Daji, who is actually a vixen spirit in disguise as a beautiful woman, King Zhou of Shang oppresses his people and persecutes those who oppose him, including his own subjects who dare to speak up to him. King Wu of Zhou, assisted by his strategist Jiang Ziya, rallies an army to overthrow the tyrant and restore peace and order. Throughout the story, battles are waged between the kingdoms of Shang and Zhou, with both sides calling upon various supernatural beings -- deities, immortals, demons, spirits, and humans with magical abilities -- to aid them in the war. Yuanshi Tianzun bestows upon Jiang Ziya the Fengshen Bang, a list that empowers Jiang Ziya to invest the gods of Heaven. The heroes of Zhou and some of their fallen enemies from Shang are eventually endowed with heavenly ranking and essentially elevated to their roles as gods, hence the title of the novel."
8,Jarka Ruus,fantasy," In the 20 years since the events chronicled in The Voyage of the Jerle Shannara, Grianne Ohmsford has become High Druid, or Ard Rhys, of the new Druid Council, but not without misgivings by many over her former life as the evil Ilse Witch. In a bid for power, a group of Druids led by Shadea a'Ru use unorthodox magic called ""liquid night"" to send Grianne out of the Four Lands and into the Demon-infested world of the Forbidding. Tagwen, Grianne's loyal Dwarf aid, sets out to restore her, seeking the aid of her brother Bek Ohmsford. Finding Bek and his wife Rue Meridian otherwise disposed, Tagwen joins forces with their son Pen, who has a supernatural ability to commune with nature. Advised by the King of the Silver River, they set out in search of the legendary Tanequil tree, which they are told can provide a means to reach Grianne in the Forbidding. They are joined by the elf Ahren Elessedil, now a Druid, and his niece Khyber (heir to the magic Elfstones), as well as the mysteriously empathic Rover girl Cinnaminson, for whom Pen develops strong feelings. Along the way, they are stalked by traitorous Druid minions and their spider-like assassin accomplice, Aphasia Wye. They manage to defeat one of the pursuing Druid airships, but at the cost of Ahren's life and Cinamminson's capture. Meanwhile, Grianne finds the Forbidding to be a dark mirror of the Four Lands. Exploring this horrific land known locally as Jarka Ruus, she encounters an enigmatic and somewhat annoying creature called Weka Dart. After defeating a dragon like creature and knocking Weka Dart out of a tree, she has a frightening encounter with the shade of Brona, the most legendary evil from the Four Lands, and Grianne is captured by a party of Demons."
9,Zahrah the Windseeker,fantasy," In the northern Ooni Kingdom, fear of the unknown runs deep, and children born dada are rumored to have special powers. Thirteen-year-old Zahrah Tsami feels like a normal girl, she grows her own flora computer, has mirrors sewn onto her clothes, and stays clear of the Forbidden Greeny Jungle. But unlike other children in the village of Kirki, Zahrah was born with the telling dadalocks. Only her best friend, Dari, isn’t afraid of her, even when something unusual begins happening—something that definitely makes Zahrah different. The two friends determine to investigate, edging closer and closer to danger. When Dari's life is threatened, Zahrah must face her worst fears alone, including the very thing that makes her different. In this novel, things are not always what they seem: monkeys tell fortunes, plants offer wisdom, and a teenage girl is the only one who stands a chance at saving her best friend's life."
10,The Unwilling Warlord,fantasy," ~Plot outline description~ --> The Kingdom of Semma is on the verge of war but the VIII Hereditary Warlord has died. The King sent out a search party to the Hegemony of Ethshar where with the aid of magic they track down the heir to the title, the Unwilling IX Warlord Sterren. The story evolves as Sterren, along with assorted others hired to help in the war, is hauled off from his career as a low stakes gambler to Semma. One of his companions is Vond, a master Warlock who is feeling the Calling and who is seeking to get as far away from Aldagmor as he can because once a Warlock gives in to the Calling they are drawn to Aldagmor and are never seen again. Vond takes a liking to Sterren who was actually apprenticed as a Warlock for three days before being dismissed as unable to perform. Of course it is against the Guild law for any magician to practice in more than one field so Sterren was disqualified to take up any of the other studies. Not long after arriving in Semma, Vond discovers a second source of power for Warlockry and quickly becomes the most powerful magician in the Small Kingdoms."
